SEfs08;4;2;2;3;4;2;2;4
SEfs09;4;4;3;4;3;3;4;3
SEfs10;3;3;2;4;4;2;3;3
SEfs11;2;3;4;3;4;3;2;3
SEfs12;3;3;3;4;3;2;3;2
SEfs13;4;4;3;2;3;3;3;4
SEfs14;3;3;2;3;2;2;1;2
SEfs15;4;2;2;3;3;3;2;3
SEfs16;3;4;3;2;3;3;3;3
SEfs17;3;3;3;3;2;3;3;2
SEfs18;4;3;2;3;3;2;4;3
SEfs19;3;4;2;4;3;4;4;2
SEfs20;2;4;4;4;4;4;2;4
SEfs21;3;4;4;4;3;3;4;4
SEfs22;4;4;4;4;4;2;4;2
SEfs23;3;2;2;3;2;2;2;2
SEfs24;4;4;3;4;4;3;3;3
SEfs25;4;4;3;4;4;3;3;3
SEfs26;2;4;2;2;3;4;2;3
SEfs27;4;4;2;2;3;4;2;3
SEfs28;4;3;2;3;2;3;2;2
SEfs29;3;4;3;4;4;3;3;2
SEfs30;4;3;3;2;3;4;1;4
SEfs31;1;4;2;3;2;3;2;2
SEfs32;2;3;2;3;3;3;3;2
SEfs33;3;3;3;3;3;3;3;3
SEfs34;4;4;3;4;4;4;4;3
SEfs35;4;4;4;4;4;4;2;1
SEfs36;3;3;2;3;3;3;3;2
SEfs37;4;4;1;4;4;1;1;1
SEfs38;4;4;3;4;3;3;4;3
SEfs39;4;3;3;3;2;3;3;3
SEfs40;4;4;3;3;4;4;2;2
FEfs01;3;3;2;3;2;2;2;3
FEfs02;2;3;3;2;3;2;2;2
FEfs03;2;2;3;3;3;2;2;2
FEfs04;2;3;3;3;2;3;2;2
FEfs05;2;2;2;2;1;2;2;2
FEfs06;2;3;2;3;2;2;2;3
FEfs07;2;2;2;3;2;2;2;3
FEfs08;2;2;2;2;2;2;2;2
FEfs09;4;3;4;2;3;3;3;3
FEfs10;3;3;3;2;3;2;2;3
FEfs11;2;3;1;3;2;2;3;2
FEfs12;3;2;2;2;2;2;2;3
FEfs13;2;2;2;2;2;2;2;2
FEfs14;2;2;3;3;3;2;2;2
FEfs15;3;3;2;4;4;3;3;3
FEfs16;3;3;2;3;2;2;3;4
FEfs17;3;3;3;2;2;2;2;3
FEfs18;3;3;3;3;3;3;3;3
FEfs19;3;3;3;4;3;3;3;3
FEfs20;3;3;3;3;3;3;3;3
FEfs21;2;2;2;2;2;2;2;2
FEfs22;3;3;3;3;2;2;3;3
FEfs23;3;3;3;3;3;3;3;3
FEfs24;3;3;3;3;2;2;3;2
FEfs25;3;3;3;3;3;3;3;3
FEfs26;2;2;2;3;2;2;2;3
FEfs27;3;3;3;3;3;3;3;3
FEfs28;2;3;3;3;2;2;2;3
FEfs29;4;4;3;4;3;3;3;3
FEfs30;3;2;2;3;2;3;2;2
FEfs31;3;3;3;3;3;3;3;3
FEfs32;3;3;3;3;3;3;3;3
FEfs33;3;3;3;3;3;3;3;3
FEfs34;4;3;3;3;3;3;3;3
FEfs35;3;3;3;3;3;3;3;3
FEfs36;2;2;3;3;3;2;3;3
FEfs37;2;2;2;3;2;2;2;2
FEfs38;3;3;3;3;3;3;3;3
FEfs39;3;2;2;2;2;2;2;2
FEfs40;3;3;3;3;2;3;2;3
