SEfs08;1;2;2;3;2;4;4;1;3;2
SEfs09;3;3;3;4;4;4;3;3;4;4
SEfs10;3;4;4;2;4;4;3;4;3;4
SEfs11;2;2;1;1;4;2;1;4;2;2
SEfs12;3;3;4;3;2;2;3;3;3;3
SEfs13;2;2;4;4;3;1;2;4;4;4
SEfs14;3;2;2;3;4;3;3;3;3;3
SEfs15;1;1;2;1;2;4;2;3;4;2
SEfs16;2;3;3;3;2;1;3;4;3;3
SEfs17;2;2;2;2;3;3;2;3;2;4
SEfs18;2;2;2;2;2;2;3;3;3;3
SEfs19;2;2;3;3;3;4;2;3;2;2
SEfs20;2;4;4;4;4;4;2;4;4;4
SEfs21;3;3;3;2;3;4;3;4;2;3
SEfs22;2;2;4;4;4;2;2;1;4;4
SEfs23;2;3;2;1;2;3;2;1;2;3
SEfs24;3;3;3;4;4;3;4;3;3;4
SEfs25;4;4;4;3;3;4;3;3;4;3
SEfs26;3;4;2;4;4;4;3;3;4;2
SEfs27;3;2;4;2;4;1;3;2;1;2
SEfs28;3;4;3;3;2;3;2;3;2;3
SEfs29;2;3;2;3;3;2;3;2;3;3
SEfs30;2;3;4;1;2;4;2;2;1;1
SEfs31;2;2;1;3;3;2;2;4;4;4
SEfs32;2;2;2;3;2;4;2;3;2;3
SEfs33;2;2;2;2;2;2;2;2;2;2
SEfs34;3;3;3;2;4;3;2;4;3;4
SEfs35;2;1;2;3;1;3;3;2;3;4
SEfs36;2;3;2;3;3;1;2;2;2;2
SEfs37;1;4;1;4;3;4;3;1;4;3
SEfs38;2;3;2;3;3;3;2;3;2;2
SEfs39;1;3;3;3;3;3;3;2;3;4
SEfs40;2;3;4;3;2;4;2;3;4;4
FEfs01;3;3;3;2;3;2;3;2;2;2
FEfs02;2;3;3;3;2;3;2;2;2;2
FEfs03;2;2;2;2;3;3;2;2;2;3
FEfs04;3;2;2;2;2;2;2;2;1;2
FEfs05;1;2;1;2;1;1;2;2;2;2
FEfs06;2;3;3;3;2;3;3;2;2;2
FEfs07;1;2;2;2;2;3;2;2;2;2
FEfs08;3;3;3;2;3;3;3;2;3;2
FEfs09;4;3;4;3;3;3;4;3;3;3
FEfs10;2;2;2;2;2;3;2;2;2;2
FEfs11;2;2;2;1;2;3;1;1;2;2
FEfs12;2;3;3;2;2;3;2;2;2;2
FEfs13;3;2;2;3;2;3;3;2;3;2
FEfs14;2;2;2;2;3;3;2;2;2;3
FEfs15;3;3;3;2;3;3;3;3;3;2
FEfs16;1;2;2;2;1;2;2;2;3;2
FEfs17;4;3;3;3;3;4;3;3;3;3
FEfs18;3;3;3;3;3;3;2;2;3;3
FEfs19;3;3;3;2;2;4;3;2;3;3
FEfs20;2;2;2;2;2;2;2;2;2;2
FEfs21;2;2;2;2;3;3;2;2;2;3
FEfs22;2;3;2;2;2;3;2;2;3;2
FEfs23;2;2;2;2;2;2;2;2;2;2
FEfs24;2;3;3;2;3;3;2;2;3;3
FEfs25;2;2;2;2;2;2;2;2;2;2
FEfs26;1;2;1;2;2;1;2;2;2;2
FEfs27;2;2;2;2;2;2;2;2;3;2
FEfs28;1;2;2;2;2;2;2;2;3;2
FEfs29;3;3;3;3;3;4;3;3;3;3
FEfs30;3;3;3;3;3;3;3;2;2;3
FEfs31;2;2;2;2;2;2;2;2;2;2
FEfs32;2;2;2;2;2;2;2;2;2;2
FEfs33;2;2;2;2;2;2;2;2;2;2
FEfs34;3;3;3;2;3;3;2;3;3;3
FEfs35;3;3;3;2;3;3;3;2;3;3
FEfs36;1;2;2;2;1;2;2;2;2;2
FEfs37;2;1;1;2;1;2;2;2;2;2
FEfs38;2;2;2;2;2;2;2;2;3;3
FEfs39;3;3;2;2;2;2;2;2;3;2
FEfs40;2;3;3;3;3;3;3;2;3;2
